"Serial2","F05_01","F05_01.ENG","F05_02","F05_02.ENG","F05_03","F05_04","F12","F13","F15","F15.ENG","F16","F16.ENG","F17","F20","F21","F30","F30.ENG","F31_01","F31_01_ENG","F31_02","F31_02_ENG","F31_03","F31_03_ENG","F31_04","F31_04_ENG","F31_05","F31_05_ENG","F31_06","F31_06_ENG","F31_07","F31_07_ENG","F31_08","F31_08_ENG","F31_09","F32","F33","hFerienDauer","hGruppePersonen","F80","F80_a05","F81_01","F81_02","F81_03","F81_04","F81_05","F81_06","F81_Total","F82_01","F82_02","F82_03","F82_04","F82_05","F82_06","F82_07","F82_Total","F83","F85","F105","F105A","F105_Code","F105_Code_nr","F105_OrgCode","F125","F125_ENG","F125_a11","F125_a11.ENG","F130","F130_a07","F135_01","F12_F13_Mittelwert_2Cat_final","leaflet_districts","leaflet_region"
18330,"Europa","Europe","Vereinigtes Königreich","United Kingdom","England","Leicestershire","14.08.23","23.08.23","Sommer","Summer","Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz)","Round trip only within Switzerland (several overnight locations in Switzerland)",NA,2,NA,"Nein","Non","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable",NA,"5","",10,"5","CHF","",3000,800,900,100,0,0,4800,NA,NA,NA,NA,NA,NA,NA,NA,"","Ja","Vevey","","Vevey",290,"Montreux Riviera","Hotel / Kurhaus","Hotel / Spa House","","","***","",7,"Summer","Riviera-Pays-d'Enhaut","Riviera-Pays-d'Enhaut"
24615,"Europa","Europe","Vereinigtes Königreich","United Kingdom","England","Durham","23.12.23","28.12.23","Winter","Winter","Ferien mit nur einem Übernachtungsort in der Schweiz","Holidays with only one overnight stay in Switzerland",NA,NA,NA,"Nein","Non","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable",NA,"3","",6,"3","CHF","",3000,100,1000,0,200,100,4400,NA,NA,NA,NA,NA,NA,NA,NA,"","Ja","Lausanne","","Lausanne",253,"Lausanne Tourisme","Hotel / Kurhaus","Hotel / Spa House","","","*****","",6,"Winter","Lausanne","Lausanne"
17301,"Europa","Europe","Spanien","Spain","Euskal Autonomia Erkidegoa","","31.07.23","12.08.23","Sommer","Summer","Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz)","Round trip only within Switzerland (several overnight locations in Switzerland)",NA,12,NA,"Nein","Non","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable",NA,"3","",13,"3","€","",3000,1400,2000,200,0,600,7200,NA,NA,NA,NA,NA,NA,NA,NA,"","Ja","Lausanne","","Lausanne",253,"Lausanne Tourisme","Hotel / Kurhaus","Hotel / Spa House","","","***","",1,"Summer","Lausanne","Lausanne"
20865,"Europa","Europe","Frankreich","France","Île-de-France","","24.08.23","06.09.23","Sommer","Summer","Ferien mit nur einem Übernachtungsort in der Schweiz","Holidays with only one overnight stay in Switzerland",NA,NA,NA,"Nein","Non","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable",NA,"3","",14,"3","CHF","",3000,0,3500,0,0,0,6500,NA,NA,NA,NA,NA,NA,NA,NA,"","Ja","Yverdon-les-Bains","","Yverdon-les-Bains",695,"Yverdon-les-Bains Région","Serviced Apartments / Chalets / Villas (Service während Aufenthalt)","Serviced Apartments / Chalets / Villas (service during stay)","","","","",14,"Summer","Jura-Nord vaudois","Jura-Nord vaudois"
8583,"Asien","Asia","Malaysia","Malaysia","Kuala Lumpur","","17.03.23","25.03.23","Winter","Winter","Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz","Round trip through Europe: several places to stay in Switzerland",NA,2,14,"Nein","Non","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable",NA,"4","",9,"4","$","",3000,1500,3000,1000,1000,500,10000,NA,NA,NA,NA,NA,NA,NA,NA,"","Ja","Vevey","","Vevey",290,"Montreux Riviera","Hotel / Kurhaus","Hotel / Spa House","","","****","",7,"Winter","Riviera-Pays-d'Enhaut","Riviera-Pays-d'Enhaut"
24616,"Nord- und Mittelamerika","North and Central America","Vereinigte Staaten von Amerika","United States of America","Maryland","","17.12.23","29.12.23","Winter","Winter","Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz)","Round trip only within Switzerland (several overnight locations in Switzerland)",NA,5,NA,"Nein","Non","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable",NA,"5","",13,"5","CHF","",3000,700,500,100,0,0,4300,NA,NA,NA,NA,NA,NA,NA,NA,"","Ja","Lausanne","","Lausanne",253,"Lausanne Tourisme","Andere","Other","We passed through Lausanne on the way to Geneva.","We passed through Lausanne on the way to Geneva.","","",0,"Winter","Lausanne","Lausanne"
24658,"Nord- und Mittelamerika","North and Central America","Vereinigte Staaten von Amerika","United States of America","Massachusetts","","23.12.23","01.01.24","Winter","Winter","Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz","Round trip through Europe: several places to stay in Switzerland",NA,4,14,"Nein","Non","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable",NA,"3","",10,"3","CHF","",3000,1000,2000,0,0,1500,7500,NA,NA,NA,NA,NA,NA,NA,NA,"","Ja","Lausanne","","Lausanne",253,"Lausanne Tourisme","Hotel / Kurhaus","Hotel / Spa House","","","****","",2,"Winter","Lausanne","Lausanne"
24547,"Asien","Asia","Philippinen","Philippines","National Capital Region","","22.12.23","10.01.24","Winter","Winter","Rundreise durch Europa: nur ein Übernachtungsort in der Schweiz","Round trip through Europe: only one overnight stay in Switzerland",NA,NA,20,"Nein","Non","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable",NA,"4","",20,"4","$","",3000,500,3000,0,0,500,7000,NA,NA,NA,NA,NA,NA,NA,NA,"","Ja","Lausanne","","Lausanne",253,"Lausanne Tourisme","Hotel / Kurhaus","Hotel / Spa House","","","****","",10,"Winter","Lausanne","Lausanne"
2747,"Europa","Europe","Schweiz","Switzerland","Neuenburg","","17.02.23","19.02.23","Winter","Winter","Ferien mit nur einem Übernachtungsort in der Schweiz","Holidays with only one overnight stay in Switzerland",NA,NA,NA,"Nein","Non","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft zu","Applies","Trifft zu","Applies","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable",NA,"26+","",3,"26+","CHF","",3000,0,0,0,0,0,3000,NA,NA,NA,NA,NA,NA,NA,NA,"","Ja","Leysin","","Leysin",7,"Aigle-Leysin-Les Mosses","Hotel / Kurhaus","Hotel / Spa House","","","Nicht bekannt","",3,"Winter","Aigle","Aigle"
23280,"Nord- und Mittelamerika","North and Central America","Vereinigte Staaten von Amerika","United States of America","New Jersey","","12.10.23","23.10.23","Herbst","Autumn","Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz)","Round trip only within Switzerland (several overnight locations in Switzerland)",NA,6,NA,"Nein","Non","Trifft nicht zu","Not applicable","Trifft zu","Applies","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable","Trifft nicht zu","Not applicable",NA,"2","",12,"2","$","",3000,3500,1000,200,0,0,7700,NA,NA,NA,NA,NA,NA,NA,NA,"","Ja","Lausanne","","Lausanne",253,"Lausanne Tourisme","Hotel / Kurhaus","Hotel / Spa House","","","****","",1,"Summer","Lausanne","Lausanne"
